epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.77584,1.39433,3.98381,1.20811,0.00328,0.39931,0.0736,0.05691,1.05669,3.72021,0.99661,0.0001625,0.0001625,0.0001625
2,3.45588,1.23431,2.52224,1.05329,0.00539,0.55809,0.26308,0.18593,0.96612,3.34028,0.91187,0.000337333,0.000337333,0.000337333
3,5.14288,1.16426,1.79858,1.02477,0.0081,0.65159,0.27607,0.2101,0.96138,3.215,0.90273,0.000511993,0.000511993,0.000511993
4,6.8152,1.17918,1.66723,1.02585,0.85092,0.05045,0.27345,0.17568,1.12034,3.2761,1.01704,0.000686479,0.000686479,0.000686479
5,8.44785,1.06896,1.40103,0.99307,0.87267,0.20689,0.41113,0.30869,1.04939,2.87023,0.95351,0.000860792,0.000860792,0.000860792
6,10.0952,1.1088,1.39818,1.01055,0.64761,0.35493,0.52332,0.35107,1.08942,2.65595,1.00452,0.00103493,0.00103493,0.00103493
7,11.7319,1.08466,1.33124,1.00497,0.52648,0.56217,0.55943,0.35337,1.26129,2.23532,1.07883,0.0012089,0.0012089,0.0012089
8,13.3692,1.106,1.24781,1.00732,0.55976,0.66054,0.66888,0.44106,1.07578,1.9077,0.95081,0.00124567,0.00124567,0.00124567
9,15.0143,1.12584,1.23884,1.00077,0.80668,0.79961,0.83934,0.52982,1.06804,1.13943,0.96621,0.00124505,0.00124505,0.00124505
10,16.7798,1.12734,1.20866,1.00059,0.77644,0.80847,0.87839,0.60484,1.0384,1.09726,0.93626,0.00124443,0.00124443,0.00124443
11,18.5834,1.06467,1.16902,0.98152,0.73155,0.8096,0.84195,0.5918,0.92777,1.09065,0.90669,0.00124381,0.00124381,0.00124381
12,20.3992,1.0396,1.09349,0.98535,0.816,0.78924,0.88437,0.63875,0.90842,0.95317,0.9025,0.00124319,0.00124319,0.00124319
13,22.1997,1.04406,1.11679,0.98269,0.80097,0.8576,0.89918,0.64143,0.92811,0.96599,0.8994,0.00124257,0.00124257,0.00124257
14,23.9434,1.04282,1.09254,0.98542,0.82068,0.85816,0.88201,0.60464,1.01604,0.93476,0.94085,0.00124196,0.00124196,0.00124196
15,25.6842,1.0559,1.04508,0.99293,0.87801,0.85325,0.91472,0.66037,0.92873,0.78089,0.91936,0.00124134,0.00124134,0.00124134
16,27.4386,1.01488,1.04294,0.99388,0.88726,0.89362,0.93601,0.67198,0.8747,0.76396,0.89456,0.00124072,0.00124072,0.00124072
17,29.1812,1.00157,0.94332,0.96022,0.89913,0.87173,0.93567,0.67503,0.85864,0.71165,0.89111,0.0012401,0.0012401,0.0012401
18,30.9365,0.97399,0.93415,0.95291,0.9056,0.91628,0.93903,0.66669,0.90391,0.71979,0.92033,0.00123948,0.00123948,0.00123948
19,32.6698,0.96893,0.89468,0.95754,0.8989,0.90512,0.92883,0.70066,0.84433,0.69547,0.88882,0.00123886,0.00123886,0.00123886
20,34.4165,0.97997,0.92183,0.95794,0.84527,0.90904,0.95318,0.7143,0.84684,0.7097,0.88964,0.00123824,0.00123824,0.00123824
21,36.1621,0.97575,0.92686,0.97127,0.93461,0.92589,0.96075,0.69211,0.86561,0.6667,0.89495,0.00123763,0.00123763,0.00123763
22,37.8997,0.96788,0.88892,0.96043,0.92177,0.90304,0.96126,0.69672,0.88029,0.70572,0.90821,0.00123701,0.00123701,0.00123701
23,39.6326,0.91957,0.84324,0.94339,0.90264,0.9127,0.96237,0.71653,0.85562,0.67246,0.88819,0.00123639,0.00123639,0.00123639
24,41.3778,0.91628,0.83264,0.95071,0.93723,0.89954,0.97606,0.7209,0.84402,0.6366,0.88112,0.00123577,0.00123577,0.00123577
25,43.1172,0.94135,0.82526,0.95059,0.91404,0.90214,0.96902,0.70505,0.87345,0.65942,0.89873,0.00123515,0.00123515,0.00123515
26,44.861,0.95038,0.82899,0.93512,0.91606,0.88576,0.96683,0.7169,0.898,0.67542,0.91241,0.00123453,0.00123453,0.00123453
27,46.6048,0.89777,0.83061,0.95297,0.89387,0.89209,0.95318,0.70699,0.84388,0.62971,0.88474,0.00123391,0.00123391,0.00123391
28,48.3346,0.92566,0.8069,0.93964,0.92152,0.8899,0.95716,0.71053,0.83216,0.63365,0.87627,0.00123329,0.00123329,0.00123329
29,50.0627,0.90334,0.77296,0.93418,0.92073,0.93603,0.96561,0.6965,0.88145,0.65934,0.89397,0.00123268,0.00123268,0.00123268
30,51.7966,0.88217,0.77615,0.92798,0.95694,0.91834,0.96849,0.70327,0.86257,0.62943,0.89244,0.00123206,0.00123206,0.00123206
31,53.5281,0.90754,0.7534,0.93285,0.93437,0.94175,0.95826,0.72582,0.84596,0.5889,0.87434,0.00123144,0.00123144,0.00123144
32,55.2768,0.89218,0.71255,0.92092,0.90679,0.93359,0.95904,0.71782,0.86589,0.59501,0.89476,0.00123082,0.00123082,0.00123082
33,57.0066,0.89761,0.73561,0.94013,0.91338,0.89045,0.95115,0.71143,0.83105,0.63098,0.86735,0.0012302,0.0012302,0.0012302
34,58.7383,0.88544,0.72295,0.92575,0.90357,0.89613,0.95898,0.74223,0.77937,0.60492,0.85225,0.00122958,0.00122958,0.00122958
35,60.4767,0.87792,0.73657,0.92238,0.92766,0.93396,0.96206,0.73389,0.82069,0.58762,0.86803,0.00122896,0.00122896,0.00122896
36,62.2107,0.88216,0.70902,0.91609,0.93738,0.93868,0.98058,0.75159,0.79386,0.57503,0.86852,0.00122834,0.00122834,0.00122834
37,63.9419,0.86695,0.71465,0.923,0.93523,0.95431,0.97275,0.71407,0.86332,0.5607,0.89922,0.00122773,0.00122773,0.00122773
38,65.6805,0.85943,0.68597,0.92245,0.9333,0.93898,0.96518,0.71366,0.83784,0.61525,0.88051,0.00122711,0.00122711,0.00122711
39,67.4032,0.89098,0.6909,0.9246,0.95917,0.92351,0.95913,0.74031,0.80739,0.55667,0.87262,0.00122649,0.00122649,0.00122649
40,69.1403,0.88257,0.69026,0.92957,0.95902,0.92842,0.96953,0.74241,0.80015,0.54371,0.86401,0.00122587,0.00122587,0.00122587
41,70.8653,0.88584,0.70431,0.92442,0.94215,0.92075,0.9749,0.75701,0.77812,0.57346,0.8584,0.00122525,0.00122525,0.00122525
42,72.6086,0.86271,0.69007,0.92279,0.92603,0.94852,0.96917,0.74925,0.79767,0.54473,0.8694,0.00122463,0.00122463,0.00122463
43,74.3359,0.90556,0.70771,0.92039,0.90511,0.94737,0.97257,0.7612,0.79928,0.54458,0.87167,0.00122401,0.00122401,0.00122401
44,76.0928,0.82687,0.67857,0.91857,0.91045,0.9295,0.96764,0.74707,0.78817,0.55425,0.87673,0.00122339,0.00122339,0.00122339
45,77.8218,0.88724,0.65564,0.93362,0.96045,0.94738,0.96922,0.73481,0.8094,0.56196,0.89414,0.00122277,0.00122277,0.00122277
46,79.5511,0.83927,0.6554,0.90843,0.93945,0.93452,0.96977,0.75185,0.76025,0.55573,0.85352,0.00122216,0.00122216,0.00122216
47,81.2734,0.85799,0.66849,0.92277,0.93977,0.92643,0.97227,0.74909,0.7864,0.58545,0.86526,0.00122154,0.00122154,0.00122154
48,83.0074,0.83999,0.66361,0.91902,0.93516,0.94938,0.97193,0.74234,0.80144,0.53864,0.87297,0.00122092,0.00122092,0.00122092
49,84.738,0.8518,0.65338,0.91473,0.96455,0.93629,0.97718,0.74224,0.8119,0.53953,0.87473,0.0012203,0.0012203,0.0012203
50,86.4675,0.82009,0.6253,0.91327,0.94761,0.93814,0.97182,0.76201,0.77493,0.51647,0.86077,0.00121968,0.00121968,0.00121968
51,88.2015,0.82517,0.63952,0.91969,0.95337,0.9126,0.97726,0.75954,0.79538,0.54277,0.86725,0.00121906,0.00121906,0.00121906
52,89.9454,0.83165,0.63221,0.91102,0.95675,0.92171,0.97941,0.75472,0.80092,0.52184,0.86224,0.00121844,0.00121844,0.00121844
53,91.6742,0.8634,0.64543,0.92309,0.9616,0.94845,0.98081,0.76488,0.76785,0.51343,0.85743,0.00121783,0.00121783,0.00121783
54,93.409,0.79686,0.61338,0.90018,0.96185,0.95876,0.98283,0.78009,0.77986,0.50463,0.85888,0.00121721,0.00121721,0.00121721
