epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.22482,1.45146,4.15997,1.2119,0.00295,0.36277,0.04355,0.0293,1.10437,3.72757,0.9748,0.000125,0.000125,0.000125
2,3.88729,1.26205,3.0036,1.09466,0.00442,0.51623,0.22985,0.16517,0.94261,3.4748,0.87314,0.00026237,0.00026237,0.00026237
3,5.55956,1.2075,1.97185,1.00204,0.93574,0.03037,0.22248,0.15095,0.96338,3.31464,0.88447,0.000399604,0.000399604,0.000399604
4,7.15934,1.16143,1.75679,1.02597,0.7318,0.27127,0.3181,0.21186,1.05476,3.24223,0.92626,0.000536702,0.000536702,0.000536702
5,8.72772,1.14467,1.49834,1.00591,1,0.03703,0.30535,0.20417,0.96671,3.20745,0.91902,0.000673664,0.000673664,0.000673664
6,10.2499,1.10146,1.44313,0.9822,0.8709,0.2181,0.41365,0.28688,1.06066,2.97864,0.96197,0.000810489,0.000810489,0.000810489
7,11.7807,1.18574,1.4226,1.00175,0.78845,0.20499,0.41978,0.27982,1.13566,3.01564,1.02475,0.000947178,0.000947178,0.000947178
8,13.3599,1.10247,1.33208,0.98626,0.65859,0.28741,0.49196,0.33555,1.07036,2.44572,0.98267,0.00108373,0.00108373,0.00108373
9,14.9357,1.0883,1.2402,0.99337,0.59765,0.19495,0.36948,0.25218,1.14371,2.60963,1.05527,0.00122015,0.00122015,0.00122015
10,16.4118,1.07841,1.2211,0.99458,0.6215,0.57801,0.67821,0.42863,1.08555,1.85876,1.01352,0.00124443,0.00124443,0.00124443
11,17.9183,1.07439,1.20127,0.98281,0.64054,0.72303,0.7146,0.48676,1.05398,1.55404,0.94639,0.00124381,0.00124381,0.00124381
12,19.467,0.97668,1.11344,0.96808,0.6356,0.80519,0.80137,0.57912,0.96368,1.40319,0.89761,0.00124319,0.00124319,0.00124319
13,21.017,1.03342,1.11478,0.96091,0.68804,0.81531,0.86839,0.61261,0.94797,1.20883,0.89103,0.00124257,0.00124257,0.00124257
